epoch,capsnet_acc,capsnet_loss,decoder_loss,loss,val_capsnet_acc,val_capsnet_loss,val_decoder_loss,val_loss
0,0.26458333373069765,0.7548433287938436,2172.9295638020835,852.5432047526042,0.48333333412806195,0.5332571144898732,2120.5789664713543,831.8001863606771
1,0.4533333341280619,0.5091915841897329,2168.606183268229,850.6028019205729,0.5300000015894571,0.37761310160160066,2114.6368701171873,829.3152360026041
2,0.67125,0.25168316384156547,2165.062452799479,848.9561254882813,0.7733333317438761,0.1833425701657931,2114.2114794921877,828.9542244466146
3,0.8600000007947286,0.12927091121673584,2164.9327897135418,848.7829158528646,0.9033333309491476,0.11285707145929337,2114.1647200520833,828.8654166666666
4,0.9241666674613953,0.07978768686453501,2164.88388671875,848.7142553710937,0.9366666706403096,0.07728474885225296,2114.1028987630207,828.805604654948
5,0.9554166674613953,0.05541406288743019,2164.8067838541665,848.6596573893229,0.9466666706403096,0.061668645242849984,2114.0218782552083,828.7582185872396
6,0.96875,0.04044221123059591,2164.697503255208,848.6018448893229,0.9533333309491475,0.052749830881754556,2113.9251253255206,828.7113883463542
7,0.9770833341280619,0.030162831818064055,2164.591083984375,848.5498510742187,0.9533333309491475,0.04520231619477272,2113.855,828.676337890625
8,0.9816666658719381,0.02472672959168752,2164.5143098958333,848.5143277994791,0.9499999976158142,0.039670262187719345,2113.814187825521,828.6548152669271
9,0.9866666666666667,0.019687925775845844,2164.467054036458,848.4907340494792,0.9600000031789144,0.03735082226494948,2113.7858919270834,828.6414217122395
10,0.9891666666666666,0.01643987069527308,2164.432215169271,848.4738525390625,0.9733333333333334,0.030163204769293468,2113.7648356119794,828.6259448242188
11,0.9895833333333334,0.013747234903275967,2164.403499348958,848.45990234375,0.9766666666666667,0.02763726659119129,2113.74443359375,828.6153963216146
12,0.99125,0.012241370367507139,2164.3797135416667,848.4490714518229,0.98,0.025859174927075703,2113.728284505208,828.6073136393229
13,0.9920833325386047,0.01095216571042935,2164.360908203125,848.4404012044271,0.98,0.024518699844678242,2113.7175520833334,828.601767578125
14,0.9933333325386048,0.009956656160453955,2164.3440625,848.4328108723959,0.9833333333333333,0.022994723382095496,2113.7049251302083,828.59533203125
15,0.9945833333333334,0.008864979601154725,2164.3293603515626,848.4259423828125,0.9833333333333333,0.02263252396136522,2113.691380208333,828.5896419270833
16,0.995,0.008224502125134071,2164.316676432292,848.4203434244791,0.98,0.021700760473807652,2113.68384765625,828.5857332356771
17,0.9958333333333333,0.007617709605644146,2164.305107421875,848.4151936848958,0.9866666666666667,0.020445944281915825,2113.676232096354,828.581485188802
18,0.99625,0.007143238782882691,2164.295732421875,848.4110432942708,0.99,0.020214207582175733,2113.66984375,828.5787345377604
19,0.9966666666666667,0.006721381365011136,2164.287275390625,848.4073185221354,0.9833333333333333,0.02020252405355374,2113.6632291666665,828.5761946614583
20,0.9975,0.006256729116042455,2164.280247395833,848.4040828450521,0.99,0.019266416393220423,2113.6578108723957,828.5731079101563
21,0.9970833333333333,0.005958966749409835,2164.2747623697915,848.401640625,0.9866666666666667,0.019231630625824135,2113.6545361328126,828.5717757161458
22,0.9970833325386047,0.005684332996606827,2164.269728190104,848.3994018554688,0.9866666666666667,0.018929719167451065,2113.6504996744793,828.5699267578125
23,0.9979166658719381,0.0053016092876593274,2164.265402018229,848.3973152669271,0.9866666666666667,0.01867396368334691,2113.64677734375,828.56818359375
24,0.9979166666666667,0.005184758882969618,2164.261220703125,848.3955688476562,0.9866666666666667,0.018835198047260443,2113.642550455729,828.5666918945312
25,0.9979166666666667,0.004980661819378535,2164.2573470052084,848.3938419596354,0.9866666666666667,0.018685348965227604,2113.6395377604167,828.5654134114583
26,0.9979166666666667,0.004874747594197591,2164.2540462239585,848.3924438476563,0.99,0.018651381668945154,2113.636144205729,828.5640201822916
27,0.9979166666666667,0.004848806988447905,2164.2506608072918,848.3910929361979,0.9866666666666667,0.018491221256554127,2113.6321907552083,828.5622965494791
28,0.9979166666666667,0.0047927877058585484,2164.2474235026043,848.3897607421875,0.9833333333333333,0.018792749556402366,2113.6275520833333,828.5608194986979
29,0.9979166658719381,0.004750072229653597,2164.244287109375,848.388495279948,0.99,0.018863006196916103,2113.6239143880207,828.5593611653646
